TEMPO_SWATH_POINT product,TEMPO_SWATH_POINT start time,TEMPO_SWATH_POINT end time,TEMPO_SWATH_POINT duration,TEMPO_SWATH_POINT product type,TEMPO_SWATH_POINT product path,(bl lat. bl lon),(tl lat. tl lon),(tr lat. tr lon),(br lat. br lon),segment_id
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-2600000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-2600000__V202.nc,(66.31062316894531. -42.797401428222656),(67.19701385498047. -42.709388732910156),(67.14381408691406. -40.42607879638672),(66.25962829589844. -40.601295471191406),3063
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-3100000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-3100000__V202.nc,(61.921234130859375. -43.15238952636719),(62.79313659667969. -43.09084701538086),(62.74950408935547. -41.1859245300293),(61.87915802001953. -41.30861282348633),3064
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-3300000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-3300000__V202.nc,(60.18699264526367. -43.2642936706543),(61.052490234375. -43.21009063720703),(61.011878967285156. -41.42366409301758),(60.14775466918945. -41.53177261352539),3065
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-3200000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-3200000__V202.nc,(61.052490234375. -43.21009063720703),(61.921234130859375. -43.15238952636719),(61.87915802001953. -41.30861282348633),(61.011878967285156. -41.42366409301758),3066
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-3400000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-3400000__V202.nc,(59.3248176574707. -43.31531524658203),(60.18699264526367. -43.2642936706543),(60.14775466918945. -41.53177261352539),(59.28688049316406. -41.633541107177734),3067
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-2900000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-2900000__V202.nc,(63.66811752319336. -43.02506637573242),(64.54608154296875. -42.95458984375),(64.4990234375. -40.91438293457031),(63.622825622558594. -41.054813385009766),3068
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-900000___V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-900000___V202.nc,(81.6549072265625. -38.65980911254883),(82.56752014160156. -37.87498474121094),(82.39840698242188. -30.963756561279297),(81.504150390625. -32.47119140625),3069
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-2800000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-2800000__V202.nc,(64.54608154296875. -42.95458984375),(65.42694854736328. -42.878902435302734),(65.37799072265625. -40.763607025146484),(64.4990234375. -40.91438293457031),3070
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2300000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2300000__V202.nc,(68.6885757446289. -35.134193420410156),(69.56876373291016. -34.695152282714844),(69.38945770263672. -32.19573211669922),(68.51724243164062. -32.735225677490234),3071
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+0________-800000___V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+0________-800000___V202.nc,(82.62476348876953. -45.0),(83.54466247558594. -45.0),(83.47926330566406. -36.869895935058594),(82.56752014160156. -37.87498474121094),3072
